model,MAE,RMSE,R2
linear_baseline,3.264776867542962,4.245037803768917,-0.24291014442584852
ridge_cv,3.022753323231797,3.8966832895750123,0.036000950908226415
lasso_cv,2.9824364458400128,3.832146220431849,0.06766812818239099
