feature,ridge_coef,lasso_coef,abs_ridge,abs_lasso
position_PG,0.12466713852063468,1.0836496511986617,0.12466713852063468,1.0836496511986617
ts_pct,0.1163939481084415,0.41774659008568477,0.1163939481084415,0.41774659008568477
position_PF-C,0.05401001887154013,0.33713731531087826,0.05401001887154013,0.33713731531087826
reach_ratio,0.1303796597957745,0.32540309282371205,0.1303796597957745,0.32540309282371205
weight_lbs,0.0571635994319446,0.292676023584093,0.0571635994319446,0.292676023584093
lane_agility_sec,-0.0860086379445743,-0.13666451992959258,0.0860086379445743,0.13666451992959258
body_fat_pct,0.07602594295351937,0.08178589282213054,0.07602594295351937,0.08178589282213054
shooting_split,0.10678996618694538,0.02219326418138907,0.10678996618694538,0.02219326418138907
standing_reach_in,0.04300419610167965,0.012134913379978648,0.04300419610167965,0.012134913379978648
position_C-PF,0.020304373866348112,0.0,0.020304373866348112,0.0
position_SF-PF,-0.03340357022623578,-0.0,0.03340357022623578,0.0
position_SF,-0.02691350730440917,-0.0,0.02691350730440917,0.0
position_PG-SG,0.03555892039008464,0.0,0.03555892039008464,0.0
position_SF-SG,-0.03655254147969274,-0.0,0.03655254147969274,0.0
position_SG,-0.06126982076944049,-0.0,0.06126982076944049,0.0
position_PF-SF,-0.03117351178159305,-0.0,0.03117351178159305,0.0
position_SG-PG,-0.015953049877991145,-0.0,0.015953049877991145,0.0
position_PF,0.010847867515345316,0.0,0.010847867515345316,0.0
height_w_shoes_in,-0.007238121808350498,0.0,0.007238121808350498,0.0
position_C,0.0062660911587983795,0.0,0.0062660911587983795,0.0
wingspan_in,-0.014389885705434022,0.0,0.014389885705434022,0.0
bench_reps,-0.03262167573807338,-0.0,0.03262167573807338,0.0
shuttle_run_sec,0.019576236959216006,0.0,0.019576236959216006,0.0
efg_pct,0.08659634517403576,0.0,0.08659634517403576,0.0
power_to_weight,0.015489667518948202,0.0,0.015489667518948202,0.0
bmi_like,0.07070261895549437,0.0,0.07070261895549437,0.0
vert_max_in,-0.00572839668004116,0.0,0.00572839668004116,0.0
three_quarter_sprint_sec,-0.041161071378719695,-0.0,0.041161071378719695,0.0
ws_ratio,0.004363279416642572,-0.0,0.004363279416642572,0.0
vert_no_step_in,0.00509068920736836,0.0,0.00509068920736836,0.0
position_SG-SF,-0.046388408883389166,-0.0,0.046388408883389166,0.0
